ticker,holding_name,weight_pct,sector,region,market_value,shares
AXIA3,Axia Energia SA,0.013,Utilities,BR,"US$9,474,964.02","914,100"
EG,Everest Group Ltd,0.013,Financials,US,"US$9,468,480.63","29,221"
NESTE,Neste Oyj,0.0129,Energy,FI,"US$9,461,001.60","287,907"
TXT,Textron Inc,0.0129,Industrials,US,"US$9,455,592.72","103,047"
1928,Sekisui House Ltd,0.0129,Consumer Discretionary,JP,"US$9,442,489.48","448,300"
TYL,Tyler Technologies Inc,0.0129,Technology,US,"US$9,425,815.00","30,100"
LULU,Lululemon Athletica Inc,0.0129,Consumer Discretionary,US,"US$9,417,805.74","71,793"
TRU,TransUnion,0.0128,Industrials,US,"US$9,376,864.60","131,035"
JHX,James Hardie Industries PLC,0.0128,Industrials,AU,"US$9,363,164.23","407,689"
1216,Uni-President Enterprises Corp,0.0128,Consumer Staples,TW,"US$9,333,291.75","4,072,006"
AKRBP,Aker BP ASA,0.0128,Energy,NO,"US$9,337,016.07","259,258"
UPM,UPM-Kymmene Oyj,0.0128,Basic Materials,FI,"US$9,331,105.22","319,335"
6988,Nitto Denko Corp,0.0127,Basic Materials,JP,"US$9,313,963.82","495,800"
KEP,Keppel Ltd,0.0127,Utilities,SG,"US$9,293,244.99","1,101,500"
SGX,Singapore Exchange Ltd,0.0127,Financials,SG,"US$9,291,730.11","541,600"
IAG,Insurance Australia Group Ltd,0.0127,Financials,AU,"US$9,282,248.64","1,684,200"
ARX,ARC Resources Ltd,0.0127,Energy,CA,"US$9,285,787.79","409,857"
L,Loews Corp,0.0127,Financials,US,"US$9,262,236.85","89,447"
316140,Woori Financial Group Inc,0.0126,Financials,KR,"US$9,215,513.87","467,602"
ORG,Origin Energy Ltd,0.0126,Utilities,AU,"US$9,208,661.57","1,177,433"
3750,Contemporary Amperex Technology Co Ltd,0.0126,Industrials,HK,"US$9,205,129.70","96,903"
ROL,Rollins Inc,0.0126,Consumer Discretionary,US,"US$9,190,179.60","193,071"
TFII,TFI International Inc,0.0125,Industrials,CA,"US$9,152,859.15","59,284"
WRB,W R Berkley Corp,0.0125,Financials,US,"US$9,146,074.68","143,942"
AGS,Ageas SA/NV,0.0125,Financials,BE,"US$9,127,226.22","117,439"
7532,Pan Pacific International Holdings Corp,0.0125,Consumer Discretionary,JP,"US$9,120,172.37","1,653,200"
7733,Olympus Corp,0.0125,Health Care,JP,"US$9,119,857.09","813,100"
4188,Mitsubishi Chemical Group Corp,0.0124,Basic Materials,JP,"US$9,055,528.61","1,256,800"
URW,Unibail-Rodamco-Westfield,0.0124,Real Estate,FR,"US$9,044,685.61","78,022"
ETE,National Bank of Greece SA,0.0124,Financials,GR,"US$9,046,325.90","522,908"
ETERNAL,Zomato Ltd,0.0124,Technology,IN,"US$9,033,390.54","3,424,743"
TPEIR,Piraeus Bank SA,0.0124,Financials,GR,"US$9,029,046.81","845,607"
IMP,Impala Platinum Holdings Ltd,0.0123,Basic Materials,ZA,"US$9,008,306.25","629,272"
KYGA,Kerry Group PLC,0.0123,Consumer Staples,IE,"US$8,999,381.43","104,995"
HCLT,HCL Technologies Ltd,0.0123,Technology,IN,"US$8,988,244.49","721,307"
2020,ANTA Sports Products Ltd,0.0122,Consumer Discretionary,HK,"US$8,948,140.97","925,200"
LYC,Lynas Rare Earths Ltd,0.0122,Basic Materials,AU,"US$8,937,113.15","647,279"
METSO,Metso Oyj,0.0122,Industrials,FI,"US$8,936,113.63","467,501"
TLS,Telstra Group Ltd,0.0122,Telecommunications,AU,"US$8,923,391.01","2,380,463"
GEN,Gen Digital Inc,0.0122,Technology,US,"US$8,908,381.80","345,420"
4507,Shionogi & Co Ltd,0.0122,Health Care,JP,"US$8,893,146.55","471,900"
ALLE,Allegion plc,0.0122,Industrials,US,"US$8,882,480.30","68,290"
ORSTED,Orsted AS,0.0121,Utilities,DK,"US$8,872,835.12","346,173"
GPC,Genuine Parts Co,0.0121,Consumer Discretionary,US,"US$8,870,958.60","89,878"
9532,Osaka Gas Co Ltd,0.0121,Utilities,JP,"US$8,843,511.53","262,600"
UU/,United Utilities Group PLC,0.0121,Utilities,GB,"US$8,827,691.90","487,275"
CSGP,CoStar Group Inc,0.0121,Real Estate,US,"US$8,821,866.20","273,971"
MRU,Metro Inc/CN,0.0121,Consumer Staples,CA,"US$8,826,962.51","137,443"
SN/,Smith & Nephew PLC,0.012,Health Care,GB,"US$8,799,106.43","587,558"
PNR,Pentair PLC,0.012,Industrials,US,"US$8,797,973.80","124,195"
ITSA4,Itausa SA,0.012,Financials,BR,"US$8,785,472.29","3,439,526"
APNT,Asian Paints Ltd,0.012,Industrials,IN,"US$8,790,407.66","312,580"
RIVN,Rivian Automotive Inc,0.012,Consumer Discretionary,US,"US$8,786,563.90","539,053"
3402,Toray Industries Inc,0.012,Basic Materials,JP,"US$8,778,074.00","1,172,300"
SHL,Siemens Healthineers AG,0.012,Health Care,DE,"US$8,764,364.81","215,077"
COO,Cooper Cos Inc/The,0.012,Health Care,US,"US$8,764,537.48","143,188"
7453,Ryohin Keikaku Co Ltd,0.0119,Consumer Discretionary,JP,"US$8,720,224.26","357,500"
009540,HD Korea Shipbuilding & Offshore Engineering Co Ltd,0.0119,Industrials,KR,"US$8,720,199.73","31,067"
ALA,AltaGas Ltd,0.0119,Utilities,CA,"US$8,693,788.65","223,227"
373220,LG Energy Solution Ltd,0.0118,Industrials,KR,"US$8,606,570.67","28,319"
5713,Sumitomo Metal Mining Co Ltd,0.0118,Basic Materials,JP,"US$8,596,623.53","150,500"
DSCT,Israel Discount Bank Ltd,0.0117,Financials,IL,"US$8,572,682.36","767,585"
FNF,Fidelity National Financial Inc,0.0117,Financials,US,"US$8,548,332.25","180,535"
2892,First Financial Holding Co Ltd,0.0117,Financials,TW,"US$8,540,559.85","9,746,350"
SCG,Scentre Group,0.0117,Real Estate,AU,"US$8,530,952.51","3,095,765"
ADSEZ,Adani Ports & Special Economic Zone Ltd,0.0117,Industrials,IN,"US$8,531,331.98","449,117"
CHTR,Charter Communications Inc,0.0117,Telecommunications,US,"US$8,523,294.45","59,169"
ENX,Euronext NV,0.0117,Financials,FR,"US$8,513,153.10","52,258"
ABEV3,Ambev SA,0.0116,Consumer Staples,BR,"US$8,498,331.39","2,633,962"
MNG,M&G PLC,0.0116,Financials,GB,"US$8,459,393.36","1,985,996"
LISN,Chocoladefabriken Lindt & Spruengli AG,0.0115,Consumer Staples,CH,"US$8,433,480.51",69
PMAH,Press Metal Aluminium Holdings Bhd,0.0115,Basic Materials,MY,"US$8,438,890.29","3,717,800"
2301,Lite-On Technology Corp,0.0115,Technology,TW,"US$8,426,608.96","1,125,662"
KKC,Cummins India Ltd,0.0115,Industrials,IN,"US$8,394,972.74","135,610"
9104,Mitsui OSK Lines Ltd,0.0115,Industrials,JP,"US$8,385,170.15","243,761"
FBK,FinecoBank Banca Fineco SpA,0.0114,Financials,IT,"US$8,349,588.17","341,367"
SRG,Snam SpA,0.0114,Energy,IT,"US$8,348,643.85","1,141,756"
010140,Samsung Heavy Industries Co Ltd,0.0114,Industrials,KR,"US$8,331,752.19","449,229"
7186,Yokohama Financial Group Inc,0.0114,Financials,JP,"US$8,318,910.28","815,699"
BPAC11,Banco BTG Pactual SA,0.0114,Financials,BR,"US$8,311,984.50","782,208"
ALQ,ALS Ltd,0.0114,Industrials,AU,"US$8,315,549.75","489,928"
IT,Gartner Inc,0.0114,Technology,US,"US$8,298,314.20","51,161"
IMI,IMI PLC,0.0114,Industrials,GB,"US$8,296,192.86","221,232"
QUB,Qube Holdings Ltd,0.0113,Industrials,AU,"US$8,234,041.94","2,284,255"
CA,Carrefour SA,0.0112,Consumer Staples,FR,"US$8,202,779.56","438,369"
267,CITIC Ltd,0.0112,Industrials,HK,"US$8,200,862.53","4,884,000"
ADVANC/F,Advanced Info Service PCL,0.0112,Telecommunications,TH,"US$8,179,360.88","754,100"
PINS,Pinterest Inc,0.0112,Technology,US,"US$8,182,485.20","408,104"
FOXA,Fox Corp,0.0112,Consumer Discretionary,US,"US$8,183,294.08","128,024"
SQM/B,Sociedad Quimica y Minera de Chile SA,0.0112,Basic Materials,CL,"US$8,150,992.70","95,196"
JM,Jardine Matheson Holdings Ltd,0.0111,Industrials,SG,"US$8,098,360.00","122,000"
MKC,McCormick & Co Inc/MD,0.0111,Consumer Staples,US,"US$8,095,533.00","170,900"
3,Hong Kong & China Gas Co Ltd,0.0111,Utilities,HK,"US$8,088,827.44","8,841,754"
6525,Kokusai Electric Corp,0.0111,Technology,JP,"US$8,087,724.10","156,800"
9868,XPeng Inc,0.011,Consumer Discretionary,HK,"US$8,070,066.79","990,577"
288,WH Group Ltd,0.011,Consumer Staples,HK,"US$8,064,733.13","6,984,148"
SGRO,Segro PLC,0.011,Real Estate,GB,"US$8,038,453.79","825,279"
6724,Seiko Epson Corp,0.011,Technology,JP,"US$8,025,384.76","436,400"
6506,Yaskawa Electric Corp,0.0109,Industrials,JP,"US$8,000,839.25","176,700"
6770,Powerchip Semiconductor Manufacturing Corp,0.0109,Technology,TW,"US$7,990,659.37","2,822,000"
IMG,IAMGOLD Corp,0.0109,Basic Materials,CA,"US$7,982,809.61","440,927"
2368,Gold Circuit Electronics Ltd,0.0109,Technology,TW,"US$7,964,118.69","189,000"
6504,Fuji Electric Co Ltd,0.0109,Industrials,JP,"US$7,962,671.52","82,097"
GRASIM,Grasim Industries Ltd,0.0109,Industrials,IN,"US$7,941,643.63","241,627"
AGN,Aegon Ltd,0.0109,Financials,NL,"US$7,937,946.68","930,293"
2601,China Pacific Insurance Group Co Ltd,0.0108,Financials,HK,"US$7,922,551.36","1,976,200"
000810,Samsung Fire & Marine Insurance Co Ltd,0.0108,Financials,KR,"US$7,927,865.30","20,997"
TRI,Thomson Reuters Corp,0.0108,Technology,CA,"US$7,899,593.35","91,033"
ADCB,Abu Dhabi Commercial Bank PJSC,0.0108,Financials,AE,"US$7,895,103.15","2,116,608"
1347,Hua Hong Semiconductor Ltd,0.0108,Technology,HK,"US$7,886,667.33","383,205"
H,Hydro One Ltd,0.0108,Utilities,CA,"US$7,885,315.16","191,577"
HUBS,HubSpot Inc,0.0108,Technology,US,"US$7,877,594.15","35,705"
GDDY,GoDaddy Inc,0.0107,Technology,US,"US$7,852,415.04","91,488"
EQH,Equitable Holdings Inc,0.0107,Financials,US,"US$7,836,031.75","189,505"
CG,Carlyle Group Inc/The,0.0107,Financials,US,"US$7,836,675.00","172,500"
9633,Nongfu Spring Co Ltd,0.0107,Consumer Staples,HK,"US$7,838,711.82","1,435,400"
600036,China Merchants Bank Co Ltd,0.0107,Financials,CN,"US$7,836,475.90","1,394,000"
010120,LS Electric Co Ltd,0.0107,Technology,KR,"US$7,839,054.74","48,917"
8331,Chiba Bank Ltd/The,0.0107,Financials,JP,"US$7,815,675.61","534,900"
ACWA,ACWA Power Co,0.0107,Utilities,SA,"US$7,801,392.13","158,503"
601899,Zijin Mining Group Co Ltd,0.0107,Basic Materials,CN,"US$7,795,200.73","1,731,500"
AC,Accor SA,0.0106,Consumer Discretionary,FR,"US$7,769,925.56","141,576"
GIB/A,CGI Inc,0.0106,Technology,CA,"US$7,774,109.40","111,230"
BG,BAWAG Group AG,0.0106,Financials,AT,"US$7,740,832.70","43,046"
SGE,Sage Group PLC/The,0.0106,Technology,GB,"US$7,737,953.62","681,450"
KBX,Knorr-Bremse AG,0.0106,Industrials,DE,"US$7,737,915.91","63,943"
SY1,Symrise AG,0.0105,Basic Materials,DE,"US$7,704,021.96","83,462"
ADE,Adani Enterprises Ltd,0.0105,Industrials,IN,"US$7,697,750.44","248,957"
2423,KE Holdings Inc,0.0105,Real Estate,HK,"US$7,686,471.29","1,387,424"
CHKP,Check Point Software Technologies Ltd,0.0104,Technology,US,"US$7,630,460.05","56,501"
2057,ZTO Express Cayman Inc,0.0104,Industrials,HK,"US$7,617,410.11","343,700"
SPSN,Swiss Prime Site AG,0.0104,Real Estate,CH,"US$7,593,154.92","45,324"
AVY,Avery Dennison Corp,0.0104,Basic Materials,US,"US$7,590,502.26","47,718"
EQX,Equinox Gold Corp,0.0103,Basic Materials,CA,"US$7,556,274.84","553,678"
BMRI,Bank Mandiri Persero Tbk PT,0.0103,Financials,ID,"US$7,556,196.53","33,095,400"
1801,Taisei Corp,0.0103,Industrials,JP,"US$7,551,089.89","85,800"
SUN,Suncorp Group Ltd,0.0103,Financials,AU,"US$7,549,263.60","603,704"
AKZA,Akzo Nobel NV,0.0103,Basic Materials,NL,"US$7,530,173.98","98,277"
5831,Shizuoka Financial Group Inc,0.0103,Financials,JP,"US$7,504,385.33","416,100"
9766,Konami Group Corp,0.0103,Consumer Discretionary,JP,"US$7,503,505.25","63,100"
CARLB,Carlsberg AS,0.0103,Consumer Staples,DK,"US$7,500,177.51","55,762"
ELE,Endesa SA,0.0102,Utilities,ES,"US$7,475,391.51","178,637"
1378,China Hongqiao Group Ltd,0.0102,Basic Materials,HK,"US$7,479,245.67","2,092,000"
BEZ,Beazley PLC,0.0102,Financials,GB,"US$7,465,110.86","432,328"
AG,First Majestic Silver Corp,0.0102,Basic Materials,CA,"US$7,455,802.32","352,704"
FOX,Fox Corp,0.0102,Consumer Discretionary,US,"US$7,446,352.50","129,750"
6963,Rohm Co Ltd,0.0101,Technology,JP,"US$7,422,934.86","216,500"
SAFCO,SABIC Agri-Nutrients Co,0.0101,Basic Materials,SA,"US$7,420,446.30","200,764"
BBRI,Bank Rakyat Indonesia Persero Tbk PT,0.0101,Financials,ID,"US$7,403,617.48","44,848,354"
SOON,Sonova Holding AG,0.0101,Health Care,CH,"US$7,389,215.59","27,811"
IAG,International Consolidated Airlines Group SA,0.0101,Consumer Discretionary,GB,"US$7,383,917.43","1,273,631"
7259,Aisin Corp,0.0101,Consumer Discretionary,JP,"US$7,371,340.54","486,200"
042660,Hanwha Ocean Co Ltd,0.0101,Industrials,KR,"US$7,353,736.36","89,879"
8473,SBI Holdings Inc,0.0101,Financials,JP,"US$7,357,717.19","402,500"
MOTHERSO,Samvardhana Motherson International Ltd,0.01,Consumer Discretionary,IN,"US$7,318,952.34","4,770,828"
SDLF,Standard Life PLC,0.01,Financials,GB,"US$7,317,064.22","699,522"
1179,H World Group Ltd,0.01,Consumer Discretionary,HK,"US$7,296,822.62","1,630,220"
300308,Zhongji Innolight Co Ltd,0.01,Telecommunications,CN,"US$7,274,584.24","42,360"
FORTUM,Fortum Oyj,0.0099,Utilities,FI,"US$7,261,436.87","310,353"
005387,Hyundai Motor Co,0.0099,Consumer Discretionary,KR,"US$7,240,037.16","40,113"
2880,Hua Nan Financial Holdings Co Ltd,0.0099,Financials,TW,"US$7,221,964.39","7,417,431"
000150,Doosan Co Ltd,0.0099,Industrials,KR,"US$7,203,623.09","5,505"
FGR,Eiffage SA,0.0098,Industrials,FR,"US$7,188,883.91","49,382"
HSX,Hiscox Ltd,0.0098,Financials,GB,"US$7,173,267.11","304,266"
064350,Hyundai Rotem Co Ltd,0.0098,Industrials,KR,"US$7,172,099.20","53,907"
051910,LG Chem Ltd,0.0098,Industrials,KR,"US$7,151,264.10","29,365"
7735,SCREEN Holdings Co Ltd,0.0098,Technology,JP,"US$7,139,041.40","102,200"
DSY,Discovery Ltd,0.0098,Financials,ZA,"US$7,129,705.11","414,839"
GFS,GLOBALFOUNDRIES Inc,0.0097,Technology,US,"US$7,120,928.65","89,045"
7202,Isuzu Motors Ltd,0.0097,Industrials,JP,"US$7,106,429.11","481,700"
ALPHA,Alpha Bank SA,0.0097,Financials,GR,"US$7,097,039.72","1,555,422"
207940,Samsung Biologics Co Ltd,0.0097,Health Care,KR,"US$7,087,238.22","7,836"
CCH,Coca-Cola HBC AG,0.0097,Consumer Staples,GB,"US$7,084,334.09","123,256"
DPZ,Domino's Pizza Inc,0.0097,Consumer Discretionary,US,"US$7,077,807.62","22,789"
WEGE3,WEG SA,0.0097,Industrials,BR,"US$7,076,750.07","811,692"
EIM,Eicher Motors Ltd,0.0097,Consumer Discretionary,IN,"US$7,079,241.71","93,706"
6113,Amada Co Ltd,0.0097,Industrials,JP,"US$7,067,819.59","373,300"
SVT,Severn Trent PLC,0.0097,Utilities,GB,"US$7,054,611.33","176,215"
7167,Mebuki Financial Group Inc,0.0096,Financials,JP,"US$7,048,797.03","844,000"
6869,Yangtze Optical Fibre & Cable Joint Stock Ltd Co,0.0096,Telecommunications,HK,"US$7,044,376.96","243,000"
PRIO3,PRIO SA/Brazil,0.0096,Energy,BR,"US$7,040,691.35","572,100"
PEO,Bank Polska Kasa Opieki SA,0.0096,Financials,PL,"US$7,036,058.70","105,346"
2376,Gigabyte Technology Co Ltd,0.0096,Technology,TW,"US$7,027,820.78","595,000"
G1A,GEA Group AG,0.0096,Industrials,DE,"US$7,013,308.99","108,385"
ITRK,Intertek Group PLC,0.0096,Industrials,GB,"US$7,011,321.78","97,772"
MZTF,Mizrahi Tefahot Bank Ltd,0.0096,Financials,IL,"US$7,013,985.62","90,740"
HAR,Harmony Gold Mining Co Ltd,0.0096,Basic Materials,ZA,"US$7,003,090.82","383,019"
MPL,Medibank Pvt Ltd,0.0095,Financials,AU,"US$6,978,032.80","2,020,510"
OMV,OMV AG,0.0095,Energy,AT,"US$6,966,548.73","96,835"
3008,Largan Precision Co Ltd,0.0095,Technology,TW,"US$6,956,952.00","62,000"
2382,Sunny Optical Technology Group Co Ltd,0.0095,Technology,HK,"US$6,951,078.16","650,100"
TEN,Tenaris SA,0.0095,Energy,IT,"US$6,946,100.82","228,147"
TPWR,Tata Power Co Ltd/The,0.0095,Utilities,IN,"US$6,933,021.06","1,565,388"
1658,Postal Savings Bank of China Co Ltd,0.0095,Financials,HK,"US$6,927,848.52","10,816,000"
ATRL,AtkinsRealis Group Inc,0.0095,Industrials,CA,"US$6,925,874.43","115,282"
5334,Niterra Co Ltd,0.0095,Consumer Discretionary,JP,"US$6,915,443.81","108,300"
PE&OLES*,Industrias Penoles SAB de CV,0.0094,Basic Materials,MX,"US$6,903,473.69","118,725"
196170,Alteogen Inc,0.0094,Health Care,KR,"US$6,895,672.20","28,162"
SIG,Sigma Healthcare Ltd,0.0094,Consumer Staples,AU,"US$6,885,880.91","3,255,228"
KNIN,Kuehne + Nagel International AG,0.0094,Industrials,CH,"US$6,879,774.88","29,806"
LAND,Land Securities Group PLC,0.0094,Real Estate,GB,"US$6,877,352.79","811,142"
9866,NIO Inc,0.0094,Consumer Discretionary,HK,"US$6,871,227.38","1,267,119"
JSTL,JSW Steel Ltd,0.0094,Basic Materials,IN,"US$6,863,075.24","510,166"
OPCE,OPC Energy Ltd,0.0094,Utilities,IL,"US$6,847,778.55","155,067.89"
6841,Yokogawa Electric Corp,0.0094,Industrials,JP,"US$6,832,825.55","217,500"
6,Power Assets Holdings Ltd,0.0093,Utilities,HK,"US$6,828,674.05","890,500"
ASELS,Aselsan Elektronik Sanayi Ve Ticaret AS,0.0093,Industrials,TR,"US$6,809,065.76","821,775"
VOLVA,Volvo AB,0.0093,Industrials,SE,"US$6,790,607.16","192,684"
4005,Sumitomo Chemical Co Ltd,0.0092,Basic Materials,JP,"US$6,737,537.16","1,757,700"
HOT,HOCHTIEF AG,0.0092,Industrials,DE,"US$6,731,717.84","11,855"
011070,LG Innotek Co Ltd,0.0092,Technology,KR,"US$6,734,663.57","6,961"
HNAL,Hindustan Aeronautics Ltd,0.0092,Industrials,IN,"US$6,726,295.76","148,473"
PSPN,PSP Swiss Property AG,0.0092,Real Estate,CH,"US$6,728,803.23","35,333"
3665,Bizlink Holding Inc,0.0092,Technology,TW,"US$6,711,030.31","100,828"
SMIN,Smiths Group PLC,0.0092,Industrials,GB,"US$6,709,223.99","202,003"
TTD,Trade Desk Inc/The,0.0092,Consumer Discretionary,US,"US$6,705,418.72","311,012"
EVO,Evolution AB,0.0092,Consumer Discretionary,SE,"US$6,690,095.04","88,650"
DOCU,DocuSign Inc,0.0092,Technology,US,"US$6,691,940.84","127,417"
2338,Weichai Power Co Ltd,0.0091,Industrials,HK,"US$6,645,483.45","1,250,800"
ERF,Eurofins Scientific SE,0.0091,Health Care,FR,"US$6,619,077.43","90,812"
2408,Nanya Technology Corp,0.0091,Technology,TW,"US$6,613,110.72","597,000"
2015,Li Auto Inc,0.009,Consumer Discretionary,HK,"US$6,608,063.76","895,247"
HARL,Harel Insurance Investments & Financial Services Ltd,0.009,Financials,IL,"US$6,610,635.47","103,534"
PST,Poste Italiane SpA,0.009,Financials,IT,"US$6,598,304.32","222,962"
NWSA,News Corp,0.009,Consumer Discretionary,US,"US$6,595,992.00","252,720"
5880,Taiwan Cooperative Financial Holding Co Ltd,0.009,Financials,TW,"US$6,590,184.22","9,034,609"
086520,Ecopro Co Ltd,0.009,Basic Materials,KR,"US$6,580,132.71","71,340"
ITC,ITC Ltd,0.009,Consumer Staples,IN,"US$6,563,565.32","2,173,366"
CICT,CapitaLand Integrated Commercial Trust,0.0089,Real Estate,SG,"US$6,535,314.60","3,671,724"
HEN3,Henkel AG & Co KGaA,0.0089,Basic Materials,DE,"US$6,520,664.43","83,800"
